rarity,offering
Common,Annotated Blueprint
Common,Bloodied Blueprint
Common,Bog Laurel Sachet
Common,Chalk Pouch
Common,Clear Reagent
Common,Crispleaf Amaranth Sachet
Common,Faint Reagent
Common,Primrose Blossom Sachet
Common,Sweet William Sachet
Common,Torn Blueprint
Common,Vigo's Blueprint
Uncommon,Cream Chalk Pouch
Uncommon,Escape! Cake
Uncommon,Fresh Bog Laurel
Uncommon,Fresh Crispleaf Amaranth
Uncommon,Fresh Primrose Blossom
Uncommon,Fresh Sweet William
Uncommon,Hazy Reagent
Uncommon,Salt Pouch
Uncommon,Sealed Envelope
Uncommon,Shroud of Union
Uncommon,Tarnished Coin
Uncommon,Vigo's Shroud
Rare,Azarov's Key
Rare,Black Salt Statuette
Rare,Bloody Party Streamers
Rare,Bound Envelope
Rare,Charred Wedding Photograph
Rare,Damaged Photo
Rare,Dusty Noose
Rare,Fragrant Bog Laurel
Rare,Fragrant Crispleaf Amaranth
Rare,Fragrant Primrose Blossom
Rare,Fragrant Sweet William
Rare,Grandma's Cookbook
Rare,Hawkins National Laboratory I.D.
Rare,Heart Locket
Rare,Ivory Chalk Pouch
Rare,Jigsaw Piece
Rare,MacMillan's Phalanx Bone
Rare,Mary's Letter
Rare,Sacrificial Ward
Rare,Shattered Glasses
Rare,Strode Realty Key
Rare,The Last Mask
Rare,The Pied Piper
Rare,Yamaoka Family Crest
Very Rare,Murky Reagent
Very Rare,Petrified Oak
Very Rare,Shiny Coin
Very Rare,Shroud of Binding
Very Rare,Vigo's Jar of Salty Lips
Very Rare,White Ward
